benchmark,size,predictor,numInstructions,branchPredicted,branchMispredicted,mispredictRate,branch_MPKI,l1iAccesses,l1iMissRate,l1i_MPKI,l1dAccesses,l1dMissRate,l1d_MPKI,l2Accesses,l2MissRate,l2_MPKI,numCycles,decodeRunCycles,decodeBlockedCycles,decodeIdleCycles,fetchRunCycles,icacheStallCycles,iewBlockedCycles,renameRunCycles,renameBlockedCycles,squashCycles,commitSquashedInsts,iqFullEvents,robFullEvents,ipc,cpi,simSeconds
blackscholes,large,ltage,7576981425.0,82544187.0,2248755.0,0.027243044988740393,0.2967877145086178,273404630.0,0.000323,0.011654996962065272,691832269.0,0.002253,0.20571491661760274,3036665.0,0.477967,0.1915572414188675,810697261.0,532355052.0,151062907.0,54874555.0,800795013.0,4486040.0,45561148.0,568975030.0,51672999.0,4557768.0,198502231.0,69944406.0,96911.0,9.346252651271755,0.10699475365283742,0.253749
blackscholes,large,perceptron,7654323259.0,82552520.0,2249764.0,0.02725251754882831,0.2939206934270399,273409609.0,0.000326,0.011644599988535707,691862358.0,0.002253,0.20364516101945307,3038938.0,0.478133,0.18982952425552893,811078438.0,532373623.0,151339964.0,54959251.0,801076751.0,4575894.0,45719938.0,568968665.0,51848695.0,4561870.0,198601473.0,69960769.0,101322.0,9.437217043858833,0.10596344190798697,0.253869
blackscholes,large,tage,7550722080.0,82551417.0,2248731.0,0.027240368266482937,0.2978166824542958,273408655.0,0.000324,0.011731911634602238,691855662.0,0.002251,0.20625406135488433,3036852.0,0.478179,0.1923205273776942,810996465.0,532395561.0,151324867.0,54901656.0,801074513.0,4514430.0,45814363.0,568985063.0,51938242.0,4557544.0,198570998.0,69966162.0,99373.0,9.310425391311663,0.10740647800402157,0.253843
blackscholes,large,tournament,7588853488.0,82573994.0,2250450.0,0.02725373802313595,0.29654677133490076,273423318.0,0.000338,0.012178003123941718,691868721.0,0.002253,0.20540391653071796,3042640.0,0.478348,0.19178664616749286,811427980.0,532421210.0,151437424.0,55031711.0,801144251.0,4708842.0,45796866.0,569003155.0,51968036.0,4562802.0,198615200.0,69953617.0,99673.0,9.352467101270035,0.10692365866373411,0.253977
blackscholes,medium,bimodal,5498956857.0,21545337.0,586143.0,0.027205097789837308,0.10659167097371537,69218536.0,0.00088,0.011077066662645395,174573178.0,0.002277,0.07228700581638332,801726.0,0.451174,0.06577937156636252,207741767.0,134533846.0,40138672.0,14325063.0,204178867.0,1674803.0,12263281.0,143732062.0,13744567.0,1206316.0,50528367.0,17614214.0,28575.0,26.470155406928836,0.037778395503421935,0.065023
blackscholes,medium,local,8459746266.0,21544975.0,586272.0,0.027211542366607527,0.06930136928057128,69188767.0,0.000909,0.00743433517099294,174549391.0,0.00228,0.04704309076969188,803898.0,0.45173,0.04292620985566566,206674058.0,134561136.0,39034979.0,14340019.0,203038764.0,1715053.0,12020548.0,143724276.0,13506600.0,1205118.0,50416909.0,17611572.0,27564.0,40.93279218430017,0.024430290401336253,0.06572
blackscholes,medium,ltage,5481596795.0,21551539.0,583893.0,0.02709286793857274,0.10651877944262407,69211759.0,0.000866,0.010934292604058631,174576080.0,0.002272,0.07235790383593875,799968.0,0.449388,0.06558235365138708,207507986.0,134541606.0,40005892.0,14289232.0,204048820.0,1640122.0,12173819.0,143739950.0,13636505.0,1200934.0,50394192.0,17606340.0,25618.0,26.416317273687962,0.03785539027410351,0.064952
blackscholes,medium,perceptron,8711549104.0,21552406.0,586920.0,0.027232226415927763,0.06737263292592927,69200606.0,0.00085,0.006752015559780514,174574215.0,0.00228,0.0456898314465381,799593.0,0.453903,0.04166166741944361,206606765.0,134566316.0,38948101.0,14306457.0,202992462.0,1661777.0,11966794.0,143747407.0,13440826.0,1203820.0,50440919.0,17617250.0,28106.0,42.16487830880078,0.02371642087228026,0.065672
blackscholes,small,bimodal,4935468881.0,6359076.0,171198.0,0.026921835813882394,0.034687281822211126,18240425.0,0.002586,0.009557296416473952,45390380.0,0.002394,0.02201707119222742,236557.0,0.103066,0.00493995288995927,55301045.0,35262020.0,10812302.0,4080824.0,53608185.0,849361.0,2481094.0,37621853.0,2755436.0,365420.0,13730717.0,4397506.0,8085.0,89.24729869028695,0.011204820926516547,0.01731
blackscholes,small,local,4958328554.0,6349020.0,171141.0,0.026955498643885197,0.03451586520258657,18231413.0,0.002602,0.009567364507890577,45374382.0,0.002395,0.021916991523752906,236975.0,0.100749,0.004815129537097634,55230340.0,35250201.0,10749582.0,4081117.0,53527263.0,851829.0,2461394.0,37605868.0,2728444.0,365080.0,13727182.0,4396985.0,7795.0,89.7754486754925,0.011138902837619421,0.017287
blackscholes,small,ltage,4960146566.0,6342463.0,171168.0,0.02698762294711061,0.03450865770243451,18225085.0,0.00263,0.009663418794629224,45359211.0,0.002402,0.021965646251026528,237741.0,0.103524,0.004961929845522231,55247014.0,35231268.0,10736297.0,4098953.0,53500039.0,867723.0,2441973.0,37591649.0,2711670.0,365852.0,13717559.0,4396665.0,7985.0,89.78126068496661,0.011138181758317019,0.017294
